id,mentor_name,job_title,description
64,Raditya Dika,Penulis,"Raditya adalah definisi dari seorang kreator - mulai dari buku, stand-up comedy, film layar besar, konten YouTube - Raditya telah melakukan semuanya. Melalui karya buku yang dibuatnya ketika berumur 21 tahun, Kambing Jantan: Sebuah Catatan Harian Pelajar Bodoh, Raditya berhasil memikat hati para pembaca di Indonesia dengan isi cerita yang unik dan style pembawaan yang sangat natural. Sejak saat itu, nama Raditya Dika kental diasosiasikan dengan elemen kreatif. "
137,Dee Lestari,Penulis,"Dewi Lestari atau biasa dikeisl dengkebanyakan karya bukunya bergenre fiksi ilmiahyang kebanyakan karya bukunya bergenre fiksi ilmiah. Dee mulai dikenal sejak tahun 2001 mekuka menerbitkan novel berjudul Supernove yang kemudian diangkat menjadi film. Tidak hanya Supernova, novel yang ditulis oleh Dee juga tidak sedikit yang diangkat menjadi film."
90,Butet Kertaredjasa,Seniman,"Seorang seniman dan aktor kondang dari Indonesia, Butet memiliki segudang pengalaman dalam industri kreatif Indonesia - dengan lebih dari 10 title film dimana beliau memiliki sebuah peran, dan rekam jejak pentas monolog yang impresif dari tahun 1986 hingga 2010."
82,Didik Ninik Thowok,Seniman,"Hampir 50 tahun Didik telah menggeluti bidang menari hingga saat ini. Didik menyerap beragam budaya dan tarian dengan berguru pada maestro tari Bali, I Gusti Gde Raka; tari klasik sunda dari Endo Suanda; hingga tari Flamenco ala Spanyol. Didik tidak hanya menarik perhatian dari orang dalam negeri, seorang peneliti Jepang bahkan membuatkannya buku biografi yang telah diterjemahkan ke dalam beberapa bahasa."
143,Martha  Suherman,Fotografer,"Martha Suherman adalah seorang fotografer profesional yang fokus terhadap fotografi di bidang  korporat dan komersial. Mengawali karir sebagai Graphic Designer di tahun 2000, Martha memutuskan untuk berubah haluan menjadi fotografer di tahun 2007. Sejak saat itu, Martha telah bekerjasama dengan berbagai korporat ternama di Indonesia, dan juga telah mengisi berbagai macam acara serta majalah dengan karya-karyanya yang diciptakan melalui kamera."
33,Jonathan Sudharta,CEO Halodoc,"Seorang pionir di bidang HealthTech di Indonesia, Jonathan membangun Halodoc dari nol hingga saat ini dimana mereka telah memudahkan akses kesehatan untuk 18 juta orang Indonesia melalui teknologi."
35,Arnold Poernomo,Restaurateur,"Salah satu tokoh yang paling berpengaruh di industri F&B Indonesia, Chef Arnold memiliki segudang pengalaman di dunia makanan dan minuman; dari menjadi seorang juri di MasterChef Indonesia, hingga menciptakan restoran di Indonesia dan Australia."
183,Steven Wang,CEO Dropzilla,Steven merupakan seorang digital creator di Instagram maupun TikTok. Steven mulai membuat konten di Instagram sejak 2015 dan TikTok sejak awal 2020. Konten di Instagram berawal dari share #foodmemo dan TikTok yang berisi tips & “tau gak sih?”
38,Michella Ham,CEO Skin Game,"Berbekal IDR 5juta, Michella menciptakan Skin Game pada tahun 2018, mengembangkannya menjadi merek perawatan kulit  terkemuka di Indonesia dengan pengikut setia untuk produk-produknya."
139,Petra Barus,CTO of Kuncie,"Seseorang yang sangat kental dengan dunia teknologi, Petra Barus memiliki rekam jejak yang spektakuler. Salah satu terobosan awalnya adalah peran Petra dalam membangun UrbanIndo.com, startup platform real estate online terbesar di Indonesia, sebagai Chief Technology Officer. UrbanIndo.com pun akhirnya diakuisisi oleh 99.co. Petra lalu melebarkan sayapnya ketika bergabung dengan Amazon Web Services Indonesia sebagai Developer Relations di tahun 2019.  Di tahun 2021, Petra bergabung dengan Kuncie sebagai Chief Technology Officernya, peran yang dipegang hingga saat ini."
