content_bite_id,content_bite_title,content_description,module_id,module_name,mentor_id
1202,"Food styling dan praktek flatlay, Bagian 1","",162,Mengawali langkah pertamamu di bidang food content creation!,187
1203,"Food styling dan praktek flatlay, Bagian 2","",162,Mengawali langkah pertamamu di bidang food content creation!,187
1206,"Konsep highkey & lowkey, Bagian 2","",162,Mengawali langkah pertamamu di bidang food content creation!,187
1199,Mengenal gambaran dunia food content creation,"",162,Mengawali langkah pertamamu di bidang food content creation!,187
1201,Cara belajar food content creation,"",162,Mengawali langkah pertamamu di bidang food content creation!,187
1209,Kesimpulan dari Jie W. Kusumo,"",162,Mengawali langkah pertamamu di bidang food content creation!,187
1200,Peluang dan pemahaman dasar food content creation,"",162,Mengawali langkah pertamamu di bidang food content creation!,187
1204,Eye-level,"",162,Mengawali langkah pertamamu di bidang food content creation!,187
1207,Langkah-langkah memulai perjalanan di bidang kreasi konten makanan,"",162,Mengawali langkah pertamamu di bidang food content creation!,187
1208,"Penghasilan, etika, dan hal-hal yang dibutuhkan di bidang kreasi konten makanan","",162,Mengawali langkah pertamamu di bidang food content creation!,187
1205,"Konsep highkey & lowkey, Bagian 1","",162,Mengawali langkah pertamamu di bidang food content creation!,187
669,Menyusun marketing plan yang sesuai dengan audiens sasaran,"",95,Perkenalan terhadap Social Media Marketing,2
671,Prinsip berkolaborasi di media sosial,"",95,Perkenalan terhadap Social Media Marketing,2
668,Langkah awal menuju social media marketing,"",95,Perkenalan terhadap Social Media Marketing,2
674,Prinsip berkomunikasi dengan audiens di media sosial,"",95,Perkenalan terhadap Social Media Marketing,2
673,Cara membuat konten yang relevan dan 'tahan' algoritma instagram,"",95,Perkenalan terhadap Social Media Marketing,2
670,Kanal dan tipe konten yang cocok denganmu,"",95,Perkenalan terhadap Social Media Marketing,2
667,Awal mula sebuah usaha yang bernilai untuk pengguna,"",95,Perkenalan terhadap Social Media Marketing,2
672,Content marketing sebagai andalan di media sosial,"",95,Perkenalan terhadap Social Media Marketing,2
180,Mengenal Billy Oscar,"",3,Inspirasi dan cerita mentor,6
161,Branding bikin konsep F&B-mu keren!,"",28,Menciptakan konsep F&B yang anti-gagal,6
163,Gunanya ATM Dalam Membuat Konsep F&B,"",28,Menciptakan konsep F&B yang anti-gagal,6
165,Rancang Survey Yang Efektif Untuk Bisnis F&B Kamu,"",28,Menciptakan konsep F&B yang anti-gagal,6
164,Apakah Konsep F&B Kamu Sudah Tahan Uji?,"",28,Menciptakan konsep F&B yang anti-gagal,6
162,Mengenal gimmick dan hubungannya dengan konsep F&B,"",28,Menciptakan konsep F&B yang anti-gagal,6
166,Mempelajari Kompetitor Untuk Memahami Bisnismu!,"",28,Menciptakan konsep F&B yang anti-gagal,6
168,Siap Meluncur! Kiat Sukses Launching Konsep F&B ke Pasar,"",28,Menciptakan konsep F&B yang anti-gagal,6
159,Yuk pahami proses membangun konsep F&B dan tipenya!,"",28,Menciptakan konsep F&B yang anti-gagal,6
160,Ubah skill & hobi masak jadi produktif!,"",28,Menciptakan konsep F&B yang anti-gagal,6
167,Bangun Identitas Bisnis F&B Kamu: Brand dan Awareness,"",28,Menciptakan konsep F&B yang anti-gagal,6
169,Hal penting yang harus kamu ingat dalam merancang konsep bisnis F&B,"",28,Menciptakan konsep F&B yang anti-gagal,6
181,Mengenal Pamela Wirjadinata dari Posh the Label,"",3,Inspirasi dan cerita mentor,15
171,Bagaimana cara mulai bisnis dengan mudah?,"",29,Dasar-dasar membangun dan menjalankan bisnis Fashion,15
177,Menggunakan Marketing dan Iklan untuk melariskan penjualan,"",29,Dasar-dasar membangun dan menjalankan bisnis Fashion,15
173,Cara mengubah sebuah ide menjadi produk nyata di depan mata!,"",29,Dasar-dasar membangun dan menjalankan bisnis Fashion,15
176,Cara menarik perhatian pelanggan melalui jualan offline!,"",29,Dasar-dasar membangun dan menjalankan bisnis Fashion,15
174,Menciptakan produk yang berbeda dan menarik dari kompetitor,"",29,Dasar-dasar membangun dan menjalankan bisnis Fashion,15
175,Cara bikin orang mudah kenal produk kita lewat kanal online!,"",29,Dasar-dasar membangun dan menjalankan bisnis Fashion,15
178,Cara mengembangkan bisnismu sehingga semakin di depan!,"",29,Dasar-dasar membangun dan menjalankan bisnis Fashion,15
172,Mencari tujuan sehingga tidak mudah patah semangat!,"",29,Dasar-dasar membangun dan menjalankan bisnis Fashion,15
179,Pola Pikir untuk menjadi seorang wirausahawan yang tahan banting!,"",29,Dasar-dasar membangun dan menjalankan bisnis Fashion,15
189,"Tujuan kampanye tepat, penjualan cepat meningkat!","",30,Cara jitu untuk menggunakan FB dan IG ads secara efektif,24
192,Facebook Pixel: alat dahsyat target pembeli,"",30,Cara jitu untuk menggunakan FB dan IG ads secara efektif,24
187,Apa pentingnya menguasai Social Media Marketing untuk bisnis?,"",30,Cara jitu untuk menggunakan FB dan IG ads secara efektif,24
196,Yakin sudah tau semua? Yuk simak tips & triks tambahan kampanye efektif!,"",30,Cara jitu untuk menggunakan FB dan IG ads secara efektif,24
194,Yakin iklan bisnismu cukup ampuh? Yuk belajar metriknya!,"",30,Cara jitu untuk menggunakan FB dan IG ads secara efektif,24
193,Mau tau perjalanan orang dipandu menjadi pembeli?,"",30,Cara jitu untuk menggunakan FB dan IG ads secara efektif,24
190,Cara gampang target pelanggan menggunakan AdSets,"",30,Cara jitu untuk menggunakan FB dan IG ads secara efektif,24
195,Setel AdSet benar bisa bikin tokomu tenar!,"",30,Cara jitu untuk menggunakan FB dan IG ads secara efektif,24
188,Membuat iklan efektif? Belajar dengan Ads Manager!,"",30,Cara jitu untuk menggunakan FB dan IG ads secara efektif,24
191,Rahasia membuat iklan efektif,"",30,Cara jitu untuk menggunakan FB dan IG ads secara efektif,24
982,Menyesuaikan Target Kampanye dan Iklan Part 2,"",139,Memaksimalkan Facebook Ads untuk Bisnismu,24
980,Menarik Kesimpulan Data Ads,"",139,Memaksimalkan Facebook Ads untuk Bisnismu,24
983,Budgeting untuk Facebook Ads,"",139,Memaksimalkan Facebook Ads untuk Bisnismu,24
985,Informasi Tambahan Mengenai Facebook Ads,"",139,Memaksimalkan Facebook Ads untuk Bisnismu,24
979,Metrik dalam Performa Sebuah Iklan,"",139,Memaksimalkan Facebook Ads untuk Bisnismu,24
984,Kesalahan Ekspektasi,"",139,Memaksimalkan Facebook Ads untuk Bisnismu,24
981,Menyesuaikan Target Kampanye dan Iklan,"",139,Memaksimalkan Facebook Ads untuk Bisnismu,24
986,Kesimpulan dari Steven Kurnia tentang Facebook Ads,"",139,Memaksimalkan Facebook Ads untuk Bisnismu,24
977,Tujuan Beriklan - Konversi atau Traffic ,"",139,Memaksimalkan Facebook Ads untuk Bisnismu,24
978,Peletakan Facebook Pixel,"",139,Memaksimalkan Facebook Ads untuk Bisnismu,24
359,Checklist untuk Memulai Digital Branding,"",47,Branding 101: Dari Emotional Branding hingga Microblogging!,25
368,Cara Emotional Branding dengan Mudah! (Bagian 2),"",47,Branding 101: Dari Emotional Branding hingga Microblogging!,25
350,Menjadi Ilmuwan Branding dengan Memahami DNA Branding,"",47,Branding 101: Dari Emotional Branding hingga Microblogging!,25
369,Apa Kamu Siap untuk Branding di Industri 4.0?,"",47,Branding 101: Dari Emotional Branding hingga Microblogging!,25
